Rxn name	Formula	Gene-reaction association	LB	UB	Objective
R00006	C00011[c] + C00900[c]  <=> 2 C00022[c] + C00080[c] 	IB49_05185 or IB49_05180	-1000.00	1000.00	  0.00
R00013	2 C00048[c] + C00080[c]  -> C00011[c] + C01146[c] 	IB49_05185	  0.00	1000.00	  0.00
R00019	2 C00080[c] + 2 C00138[c]  <=> 2 C00139[c] + C00282[c] 	IB49_09315	-1000.00	  0.00	  0.00
R00025	C00007[c] + C01847[c] + C18091[c]  <=> C00001[c] + C00061[c] + 2 C00080[c] + C00084[c] + C00088[c] 	IB49_01360	-1000.00	1000.00	  0.00
R00026	C00001[c] + C00185[c]  <=> 2 C00221[c] 	IB49_08540	-1000.00	1000.00	  0.00
R00036	2 C00430[c]  -> 2 C00001[c] + C00080[c] + C00931[c] 	IB49_05095	  0.00	1000.00	  0.00
R00066	C00080[c] + 2 C04332[c]  -> C00255[c] + C04732[c] 	IB49_03270	  0.00	1000.00	  0.00
R00068	C00007[c] + 2 C00072[c] + 2 C00080[c]  -> 2 C00001[c] + 2 C05422[c] 	IB49_14805	  0.00	1000.00	  0.00
R00078	C00007[c] + 4 C00080[c] + 4 C14818[c]  <=> 2 C00001[c] + 4 C14819[c] 	IB49_14805	-1000.00	  0.00	  0.00
R00084	C00001[c] + 4 C00931[c]  -> 4 C00014[c] + 4 C00080[c] + C01024[c] 	IB49_05105	  0.00	1000.00	  0.00
R00086	C00001[c] + C00002[c]  -> C00008[c] + C00009[c] + C00080[c] 	IB49_10460	 10.00	1000.00	  0.00
R00087	C00001[c] + C00002[c]  -> C00013[c] + C00020[c] + C00080[c] 	IB49_10460	  0.00	1000.00	  0.00
R00103	C00001[c] + C00003[c]  -> C00020[c] + 2 C00080[c] + C00455[c] 	IB49_10460	  0.00	1000.00	  0.00
R00112	C00003[c] + C00005[c]  -> C00004[c] + C00006[c] 	IB49_09795	  0.00	1000.00	  0.00
